H<sup>+</sup>,水素イオン
Li<sup>+</sup>,リチウムイオン
Na<sup>+</sup>,ナトリウムイオン
K<sup>+</sup>,カリウムイオン
Mg<sup>2+</sup>,マグネシウムイオン
Ca<sup>2+</sup>,カルシウムイオン
Sr<sup>2+</sup>,ストロンチウムイオン
Ba<sup>2+</sup>,バリウムイオン
Zn<sup>2+</sup>,亜鉛イオン
Al<sup>3+</sup>,アルミニウムイオン
Ag<sup>+</sup>,銀イオン
Cu<sup>+</sup>,銅(I)イオン
Cu<sup>2+</sup>,銅(II)イオン
Fe<sup>2+</sup>,鉄(II)イオン
Fe<sup>3+</sup>,鉄(III)イオン
F<sup>+</sup>,フッ化物イオン
Cl<sup>+</sup>,塩化物イオン
Br<sup>+</sup>,臭化物イオン
I<sup>+</sup>,ヨウ化物イオン
O<sup>2+</sup>,酸化物イオン
S<sup>2+</sup>,硫化物イオン
NH<sub>4</sub><sup>+</sup>,アンモニウムイオン
Ｈ<sub>3</sub>Ｏ<sup>+</sup>,オキソニウムイオン
ＮＯ<sub>3</sub><sup>-</sup>,硝酸イオン
SO<sub>4</sub><sup>2</sup><sup>-</sup>,硫酸イオン
CO<sub>3</sub><sup>2</sup><sup>-</sup>,炭酸イオン
PO<sub>4</sub><sup>3</sup><sup>-</sup>,リン酸イオン
MnO<sub>4</sub><sup>-</sup>,過マンガン酸イオン
CH<sub>3</sub>COO<sup>-</sup>,酢酸イオン
HSO<sub>4</sub><sup>-</sup>,硫酸水素イオン
HCO<sub>3</sub><sup>-</sup>,炭酸水素イオン
OH<sup>-</sup>,水酸化物イオン