2の補数,2 進数のビット列の全ビットを逆転し，1 を加算した値。
逆ポーランド表記法,オペランドの後に演算子を配置する方式で数式を表現する表記法。
チェックディジット,バーコードなどの数字列の各けたの値から計算した誤り制御用の数値。
否定,論理演算の一種。入力した論理値が 0 なら 1，1 なら 0 を結果とする。
論理積,論理演算の一種。二つの論理値が両方１なら１，それ以外なら 0 を結果とする。
論理和,論理演算の一種。二つの論理値が両方 0 なら 0，それ以外なら 1 を結果とする。
2分探索,探索範囲を半分ずつ減らしながら目的のデータを探索する方法。
2分探索木,親より小さい値のノードが左部分木に，大きい値のノードが右部分木に配置される木。
Ajax,JavaScript の機能を流用して，非同期でサーバにアクセスする技法。
XML,利用者が独自に定義したタグを用いることができるマークアップ言語。
キュー,最初に格納したデータが最初に取り出される，待ち行列のようなデータ構造。
クイックソート,データを，指標値未満と指標値以上のものに分割しながら整列するアルゴリズム。
スタック,最後に格納したデータが最初に取り出される形式のデータ構造。
ポインタ,変数や配列要素の格納位置 ( アドレス ) を格納する特殊な変数。
リスト,ポインタを用いて複数の要素を接続し，順次アクセスを可能にしたデータ構造。
MIPS,CPU が１秒間に実行できる命令数を百万単位で表したもの。
PCM,標本化・量子化・符号化によって，アナログデータをディジタルデータに変換する方法。
外部割込み,実行中のプログラムとは関係のない外部要因によって発生する割込み。
間接アドレス指定,レジスタが示す番地に格納された値を，参照データの格納アドレスとする指定方式。
キャッシュメモリ,CPU とメモリのアクセス速度の差を埋めるために用いられる高速のメモリ。
内部割込み,実行中のプログラムと関連する要因 ( 0 による除算など ) で発生する割込み。
プラズマディスプレイ,放電によって発光する素子を利用したディスプレイ装置。
フラッシュメモリ,電源供給がなくてもデータを保持できる半導体メモリの記憶媒体。
メモリインタリーブ,複数の単位に分割したメモリに同時並行的にアクセスする高速化技術。
MTBF,システムや機器が一度故障してから次に故障するまでの時間の平均。平均故障間隔。
MTTR,故障したシステムや機器を修復するまでに要する時間の平均。平均修理時間。
ウォームスタンバイ,待機系は OS を起動した状態で待機させ，障害発生時にシステムを起動させる障害対策。
稼働率,システムや機器が正常に動作する確率。MTBF ÷ ( MTBF + MTTR ) で表す。
可用性,システムや機器を，必要なときに利用できる度合い。
キャパシティプランニング,システムのキャパシティ ( 最大処理能力 ) を管理し，必要に応じて増強を行うこと。
クライアントサーバシステム,クライアント ( 処理の依頼者 ) とサーバ ( 処理の実行者 ) から構成されるシステム。
コールドスタンバイ,待機系は電源を切った状態で待機させ，障害発生時に電源をオンする障害対策。
信頼性,システムを故障させず，できる限り長い時間継続して運用できることを表す度合い。
スラッシング,メモリと仮想記憶との間でページ交換が多発し，処理が遅延すること。
スループット,システムが単位時間内に処理できる仕事の量。
ターンアラウンドタイム,システムに処理要求を入力してから，処理結果の出力が完了するまでの時間。
デュアルシステム,複数のシステムが同じ処理を行い，お互いの処理結果を照合する形式の障害対策。
フールプルーフ,誤操作しても大事に至らないようにするため，不要な操作を実行できなくすること。
フォールトトレラント,障害が発生してもシステムの運用を継続できるようにするための障害対策。
ホットスタンバイ,待機系はシステムを起動した状態で待機させ，障害発生時に即座に切り替える障害対策。
リアルタイムOS,リアルタイムシステムに必要な即時性や割込み機能などを備えた OS。
LRU,仮想記憶において，最終参照時刻が最も古いページを優先して入れ替える方式。
オープンソースソフトウェア,ソースコードの使用，改良などを自由に行えるソフトウェア。
仮想記憶,補助記憶装置を，大容量の主記憶装置と見なして利用する記憶管理方式。
コンパイラ,ソースコードを翻訳して，機械語で記述された目的プログラムを作成するプログラム。
メモリリーク,プログラムが確保した主記憶領域が解放されないままになり，主記憶容量が減ること。
7 セグメント LED,7 つの LED で構成される，アラビア数字を出力するための装置。
DRAM,大容量・低速・安価な記憶素子で，主記憶装置を構成するために用いられる。
半加算器,二つの論理値を入力すると，結果と桁上がりの論理値を出力する回路。
フリップフロップ,リフレッシュを行わなくても、内部に値を保持できる論理回路。
GUI,アイコンなどを用いて，利用者が直感的に操作できるようにしたユーザインタフェース。
CSS,Web ージの外観 ( 文字色，余白など ) を指定するための仕組み。
アンチエイリアシング,描線の外枠に中間色のドットを配置し，画像のぎざつきを目立たなくする技法。
クリッピング,画像全体から指定した範囲の画像情報だけを切り抜いて表示すること。
サンプリング,アナログ音声の音の強さを一定の間隔で取得すること。標本化。
モーフィング,物体の形状を，滑らかに別の形状に変化させていくコンピュータグラフィックス技術。
CREATE VIEW,仮想的なテーブル ( ビュー ) を作成するための SQL 文。
SELECT,SQL 文の一種で，関係データベースのテーブルの検索を行う。
SQL,関係データベースのテーブルの検索などを行うために用いられる言語。
外部キー,他のテーブルの主キーを参照する列のこと。
関係データベース,行と列から構成されるテーブル ( 表 ) を用いて，データを格納するデータベース。
共有ロック,他のプログラムからのデータの読込は許可し，更新は拒否するデータのロック手法。
結合,二つ以上の表を結びつけて一つの新しい表を作る操作。
射影,関係データベースのテーブルの特定の列だけを取り出す操作。
主キー,テーブルの各行を一意に識別するための列，または複数の列の組。
正規形,データの重複を排除して，適切な構成にした関係データベースのテーブルのこと。
選択,関係データベースのテーブルの特定の行だけを取り出す操作。
専有ロック,他のプログラムからのデータの読込・更新を拒否するデータのロック手法。
挿入,テーブルに新しい行を挿入する操作。
多重度,あるテーブルの行に，別のテーブルの行が対応する行数のこと。
排他制御,ある処理が参照・更新中のデータを，他の処理から参照できないようにする制御。
ビュー,一つまたは複数のテーブルの内容を用いて作成した仮想的なテーブル。
ロールバック,トランザクションがテーブルに対して実行した更新を無効にすること。
ログファイル,システムへの操作や出力結果などの情報を時系列で記録したファイル。
CGI,Web サーバにおいて，各種処理を行うプログラムを稼働させるための仕組み。
FTP,ファイル転送プロトコル。任意のファイルをインターネット経由で送受信できる。
FTTH,光ファイバ回線を利用したインターネット接続方式。
IPアドレス,ネットワークに接続する機器を一意に識別するためのアドレス。
MACアドレス,ネットワークに接続するための装置やカードに，物理的に書き込まれたアドレス。
MIME,電子メールを用いてバイナリデータを送受信するための規格。
NAPT,一つのグローバルアドレスに複数のプライベートアドレスとの相互変換を行う技術。
NTP,インターネット上で正確な時刻を取得するためのプロトコル。
POP3,メールソフトが，メールサーバからメールを受信するためのプロトコル。
UDP,トランスポート層に属するコネクションレス型プロトコル。
イーサネット,より対線などを媒体とする LAN の構成方式。CSMA / CD 方式で衝突を検知する。
サブネット,ネットワークを，より小さい規模の複数のネットワークに分割したもの。
ネットワーク層,OSI 基本参照モデルの第 3 層。ネットワーク間の経路選択などを管理する。
ブリッジ,データリンク層レベルで二つのネットワークを接続するネットワーク接続機器。
リピータ,物理層レベルで複数の機器を接続するネットワーク接続機器。
ルータ,ネットワーク層レベルで複数のネットワークを接続するネットワーク接続機器。
BYOD,従業員が，個人所有の携帯端末を職場に持ち込んで使用すること。
HTTPS,HTTP に暗号化・認証機能を追加したセキュリティプロトコル。
S/MIME,公開鍵暗号方式を利用し，電子メール上で暗号化・認証を行うためのプロトコル。
SQLインジェクション,不正な SQL 文を作成して Web サーバに送り込み，誤動作をさせる攻撃手法。
WAF,Web アプリケーションの脆弱性を付く攻撃を防御するための機器。
公開鍵,公開鍵暗号方式で用いられる，ネットワーク全体に公開して誰でも使用できる鍵。
公開鍵暗号方式,受信者の公開鍵で暗号化し、受信者の秘密鍵で復号する暗号方式。
サラミ法,多額の資産から少しずつ詐取することで，発覚を遅らせる攻撃手法。
生体認証,個人に特有の身体的特徴 ( 指紋，声紋など ) を用いて利用者認証を行う方法。
ディジタル署名,公開鍵暗号方式を利用して作成された，データの作成者を証明するための署名。
パケットフィルタリング,パケットの内容や送信元，宛先の情報から不審なパケットの通過を遮断すること。
パターンマッチング,データの内容と，不正プログラム特有のパターンとを照合すること。
ハッシュ関数,任意のデータからハッシュ値を求めるために用いられる関数。
ビジネスインパクト分析,障害などによって事業にもたらされる被害の大きさを分析すること。
秘密鍵,公開鍵暗号方式で用いられる，利用者しか利用できない鍵。
ファイアウォール,LAN とインターネットの間に配置し，フィルタリングなどを行う機器。
フィッシング,偽のメールで利用者を騙し，攻撃用の偽サイトに誘導して個人情報などを盗む行為。
リスク移転,システムに付随するリスクによって発生する損失を，他者に肩代わりさせること。
DFD,丸印，矢印などの記号を用いて，データの流れを表現する図法。
E-R 図,実体 ( エンティティ ) とその関連 ( リレーションシップ ) を表すシステム設計図法。
アサーションチェック,プログラムの特定の箇所で特定の条件が成立しているかをチェックすること。
ウォータフォールモデル,要件定義からテストまでのプロセスを順に行うことでシステムを開発するモデル。
オブジェクト指向,データと手続きを組み合わせたオブジェクトを利用してシステムを構築する開発手法。
カプセル化,オブジェクト指向の性質の一種。データと手続きを一つにまとめること。
クラス,データと手続きをまとめた新しいデータ型の定義。
クラス図,クラスのデータ，メソッド，他クラスとの関連を表現するための図。UML の一種。
継承,あるクラスのデータや手続きを受け継いだ新しいクラスを作成すること。
状態遷移図,ある状態から別の状態へ遷移する事象や条件を表現する図法。
スタブ,テスト中のモジュールから呼び出す下位モジュールの代わりとなるプログラム。
ソフトウェア方式設計,ソフトウェアの最上位レベルの構造の定義や個別のプログラムの設計を行う開発手順。
抽象化,複数のクラスに共通する性質を見い出し，その性質を持つ上位クラスを作ること。
ブラックボックステスト,プログラムの内部構造は無視し，入力と出力だけに着目して実行するテスト。
ホワイトボックステスト,プログラムの内部構造を重視し，処理内容の妥当性を検証するためのテスト。
リバースエンジニアリング,プログラムの動作などを解析して，要求仕様やソースコードを得ること。
構成管理,ソフトウェアやシステムを構成する，ソースコードなどの要素を管理すること。
WBS,プロジェクトの作業を，大きいものから小さいものに分割して管理する図法。
アローダイアグラム,矢印 ( 作業 ) と丸印 ( 作業の完了点 ) を用いて，作業順序や作業期間を表す図法。
クリティカルパス,プロジェクト全体の遅れに繋がる、もっとも作業日数の長い行程経路。
パレート図,折れ線グラフと棒グラフを組み合わせて，重要な項目を明示する図法。
ファンクションポイント,開発するシステムの機能の数などから算出した，システムの規模を表すポイント。
ファンクションポイント法,機能や画面の数からシステムの規模を見積る手法。
ITIL,ＩＴサービスマネジメントのベストプラクティスをまとめたフレームワーク。
SLA,サービスの提供者と取得者の間で合意した契約事項。サービスレベル合意。
一斉移行方式,特定のタイミングで，旧システムから新システムに一斉に切り替える方式。
インシデント管理,停止したシステムを早期に復旧させることを目的とした運用管理プロセス。
逓減課金方式,資源の利用量が増えるにつれて利用料金の増加率を減らしていく課金方式。
問題管理,システムの障害原因を恒久的に解決することを目指すプロセス。
ローカルサービスデスク,利用者の近くに配置し，利用者と同じ文化圏の人を窓口としたサービスデスク。
IT統制,情報システムを利用する業務における内部統制。
システム監査人,システム監査を行う専門職で，監査の専門知識や立場の独立性などが要求される。
システム監査人の独立性,システム監査人が被監査対象と独立しており，密接な利害関係がないという性質。
システム管理基準,情報システムへの効率的な投資を図ることなどを目的とした基準。経済産業省公表。
発見統制,IT 統制のうち，発生した誤りや不正を発見するための統制のこと。
ヒアリング,システム監査において，従業員などからシステムの運用状況を聞き取り調査すること。
予防統制,IT 統制のうち，誤りや不正を事前に予防するための統制のこと。
ASP,ソフトウェアの機能を，インターネット経由で顧客に提供する事業者。
BCP,災害が発生しても，事業をできる限り継続したり早期に復旧させたりするための計画。
BPM,業務プロセスの問題点などを分析し、継続的に改善していくこと。
ROI,投資した資本に対して得られる利益の割合。投下資本利益率。
SaaS,インターネット経由で，必要なときに利用できるソフトウェア。
SOA,ソフトウェアの機能をサービスとして，その組合せによりシステムを構成すること。
UML,オブジェクト指向の各種要素やその構成などを，統一された書式で表現する図法。
アプリケーションアーキテクチャ,システムを構成するアプリケーションなどの処理内容の表現。
エンタープライズアーキテクチャ,システムや組織の業務の効率化や全体最適化を図るための手法。
業務モデル,業務内容やその流れを抽象化して表現したモデル。業務分析に用いる。
サプライチェーンマネジメント,生産，受発注管理，物流などの業務を全体最適の視点から見直し，情報共有を図ること。
データアーキテクチャ,システムや組織に内在するデータ及びその関連の表現。
テクノロジアーキテクチャ,システムを構成する技術要素 ( ハードウェアなど ) の表現。
ビジネスアーキテクチャ,ビジネス戦略に必要な業務プロセスや情報の流れの体系的な表現。
ランニングコスト,システムを運用する際に発生する人件費や光熱費などを総合したコスト。
RFP,システムの取得者が，システムの提案を依頼するためにベンダに送付する提案依頼書。
企画プロセス,システム開発において，システム化方針やシステム構築計画を策定するプロセス。
共通フレーム 2007,システムの取得者と提供者が共通してもつべき物差しとして扱われる国際規格。
グリーン購入,国や地方公共団体などが，環境に配慮した製品やサービスを選んで購入すること。
非機能要件,操作性や処理時間など，システムの機能以外で要求される要件。
CRM,システムを利用して，顧客との間に良好な関係を構築する経営戦略手法。
PPM,市場占有率及び市場成長率から，各事業への資源配分の度合いを決定する手法。
SWOT 分析,自社の製品や事業の，強み，弱み，機会，脅威を分析する経営分析手法。
アカウンタビリティ,説明責任。組織のトップなどが自社の経営状況などを外部に説明する責任。
コアコンピタンス,他社が真似できない，自社独自の技術や業務プロセスを核とした経営手法。
特性要因図,結果とその要因を分類・整理し，系統立てて整理するための図法。
ナレッジマネジメント,社員の暗黙知を言葉や文章で表現される形式知にまとめて，知識の共有を図ること。
ニッチ戦略,他の企業が参入していない隙間の市場に進出し，利益を得る戦略。
バランススコアカード,財務・顧客・業務プロセス・学習と成長の四つの視点からビジネスを分析する手法。
フォロワ戦略,リーダ企業の戦略を模倣することで費用を削減し，利益を得ようとする戦略。
プロダクトライフサイクル,導入期・成長期・成熟期・衰退期の四つから構成される製品のライフサイクル。
ベンチマーキング,優良企業のベストプラクティスと自社のプロセスを比較し，改善を図る手法。
EDI,電子商取引の情報などを標準的なフォーマットとして統一し，データ交換を行う仕組み。
MRP,在庫量などを適切に管理し，効率的な生産計画を策定する生産管理手法。
RFID,無線を利用して，非接触形式でデータ伝送を行うマイクロチップ。
セル生産方式,製造の全工程を少人数で担当する，多品種少量生産に向いた生産方式。
ディジタルディバイド,インターネットを利用できる人と，利用できない人との間にある情報格差。
ABC 分析,重要度に従って，製品や在庫などを A ~ C のランクに分類して管理する手法。
CIO,情報の管理及び情報化戦略の遂行を統括する責任者。最高情報責任者。
減価償却,備品などの固定資産の価値を毎年削減して，その分の費用を計上すること。
先入先出法,先に入庫された在庫から先に売り上げるという考え方で期末在庫価格を算出すること。
散布図,二つのデータの間に存在する相関関係を分析するための図法。
損益分岐点,費用と収益が一致し，損も得もしない状態の売上高または製品販売個数。
貸借対照表,一定時点における企業の所有する資産，負債，及び純資産を示すための財務諸表。
定額法,毎年，同じ額の減価償却費を計上する減価償却の方法。
定率法,毎年，固定資産の価値を同じ割合で減少させる減価償却の方法。
請負契約,請負元事業者の指揮命令の下で，請負先が依頼した作業を労働者に行わせる契約。
個人情報保護法,個人を識別する上で重要な情報 ( 個人情報 ) を適切に保護・管理するための法律。
商標法,商品を識別するためのマーク ( 商標 ) を保護する権利を定めた法律。
著作権,著作物を作った者 ( 著作者 ) が，著作物を独占的に利用できる権利。
著作権法,著作権や，著作権に付随する権利について定義している法律。
特許権,自然法則を利用した発明のうち、高度なもの ( 特許 ) を保護するための権利。
派遣契約,派遣元事業者が雇用する労働者を，派遣先事業者の指揮命令の下で働かせる労働契約。
不正アクセス禁止法,他人の識別符号を用いてシステムにアクセスする不正アクセス行為等を禁止する法律。
労働者派遣法,派遣契約に関する規則や派遣労働者の権利などについて規定した法律。