at first,最初は
because of ~,～のために
in fact,実際は
in order to 不定詞,～するために（目的）
for the first time,はじめて
after all,結局は
at once,すぐに 同時に
take care of ~,～の世話をする
hear from ~,～から便り（連絡）がある
A as well as B,Bと同様にAも
not ... at all,まったく...ない
as ~ as possible,できる限り～
not only A, but also B,AのみならずBまでも
prefer A to B,BよりAのほうを好む
except for ~,～（の点を）除けば
be likely to ~,～しそうだ
be good at ~,～が上手である
in general,一般に
in short,要するに つまり
be surprised at ~,～に驚く
at least,少なくとも
to begin with,まず第一に
be used to ~,～に慣れている
used to ~,（以前はよく）～したものだ
look for ~,～を探す
as a rule,概して
in spite of ~,～にもかかわらず
according to ~,～によれば
on the contrary,それどころか（反対に）
instead of ~,～の代わりに
be full of ~,～でいっぱいである
be afraid of ~,～を恐れる
give up,止める
for instance,たとえば
take part in ~,～に参加する
to tell the truth,正直に言うと
look after ~,～の世話をする
tend to 不定詞,～する傾向がある
be famous for ~,～で有名だ
happen to ~,偶然～する
get rid of ~,～を取り除く
be apt to 不定詞,～する傾向がある
have a good time,楽しくすごす
look forward to ~,～を楽しみに待つ
be superior to ~,～よりすぐれている
think of A as B,AをBだと考える
due to ~,～のために（原因）
what we call,いわゆる
turn on/off,（電気、スイッチなどを）つける/消す
be equal to ~,～に匹敵する
be similar to ~,～と似ている
cannot help ~ing,～せざるを得ない
go on ~ing,～し続ける
out of ~,～の範囲外で
put on ~,（～を）身につける
take off ~,（～を）脱ぐ
be made up of ~,～からなる
refer to ~,～に言及する ～を参照する
apart from ~,～は別として
on the other hand,他方（では）
on one's way (to~),（～への）途中で
beyond description,（言葉では）表現できないほど
As for ~,～に関しては
as to ~,～に関しては
never ... without ~ing,...すると必ず～する
by means of ~,～によって
be capable of ~ing,～できる
take ~ for granted,～を当然のことと考える
be familiar with ~,～をよく知っている
remind A of B,AにBのことを思い出させる
prevent ~ from -ing,～が－するのを妨げる
be accustomed to ~,～に慣れている
take pains,骨を折る
at home,くつろいで
would rather ~ than ...,（どちらかといえば）むしろ...より～したい
hardly[scarcely] ... when[before] ~,...するやいなや（すぐ）～
be to 不定詞,予定/義務/可能
believe in ~,（～の存在、～の価値を）信じる
not a few,少なからぬ
on purpose,故意に
catch up with ~,～に追いつく
result in ~,～に終わる
as if ...,まるで...（である）かのように
so to speak,いわば
be anxious for ~,～を切望している
free from ~,～がない
regard A as B,AをBとみなす
that is (to say),すなわち
be supposed to 不定詞,～する予定になっている
come to 不定詞,～するようになる
by oneself,ひとりで
grow up,成長する
It goes without saying that...,...なのは言うまでもない
a good[great] deal of ~,多量の～
tell A from B,AをBと見わける
to be frank with you,率直に言うと
take account of ~,～を考慮に入れる
up to ~,～次第で
be concerned with ~,～に関係している
break out,（火事、戦争、暴動などが）勃発する
by accident,偶然
cannot but ~,～せざるを得ない
far from ~,すこしも～できない
in time,間に合って
care for ~,～の世話をする
be proud of ~,～を誇りに思う
live on ~,～で生きる
bring up ~,～を育てる
depend on ~,～に頼る
on behalf of ~,～を代表して
make up one's mind,決心する
in a sense,ある意味では
be subject to ~,～（の支配）を受けやすい
so as to 不定詞,～するために（目的）
on duty/off duty,勤務中で/非番で
in advance,前もって
so that ~ may ...,～が...できるために（目的）
in common (with~),（～と）共通に
break down,故障する
more or less,多かれ少なかれ
give in (to~),（～に）屈服する
be sure to 不定詞,きっと（必ず）～する
sit up,（寝ないで）起きている
succeed in ~,～に成功する
at the mercy of ~,～のなすがままに
take advantage of ~,～を利用する
How about (~ing),（～するの）はどうですか？
consist of ~,～から成り立つ
as long as ~,～する限り
as far as ~,～する限りでは
second to none,何物にも劣らない
as follows,次の通り
by [in] virtue of ~,～のおかげで
in case ...,...するといけないから
of + 抽象名詞,＝形容詞
boast of ~,～を自慢する
no longer ~,もはや～ではない
all at once,突然
to some extent,ある程度までは
as a matter of fact,実を言うと
It is worth while to ~,～する価値がある
by no means,けっして～ない
all of a sudden,突然
in[with] regard to ~,～に関しては
in respect to[of] ~,～に関して
none of your business,よけいなお世話
as well,（その上）...もまた
when it comes to ~,～ということになると
in a hurry,あわてて（急いで）
laugh at ~,～を笑う
pay attention to ~,～に注意を払う
rob ~ of ...,～から...を奪う
be ashamed of ~,～を恥じる
be about to 不定詞,（まさに）～しようとしている
amount to ~,（総計して）～になる
and so on,など
have an idea,考えがある
No matter how ~,たとえどんなに～でも
be known to ~,～に知られている
look up to ~,～を尊敬する
be bound to ~,必ず～する
prepare for ~,～への準備をする
rely on[upon] ~,～に頼る
come across ~,～に（偶然）出会う
in addition to ~,～に加えて
be satisfied with ~,～に満足している
in turn,順番に
think much of ~,～のことを重視する
do without ~,～なしですます
inform A of B,AにBを知らせる
insist on ~,～を主張する
before long,そのうち/まもなく
account for ~,～を説明する
on occasion,ときおり
owe ... to ~,...は～のおかげである
the last ~ to[that] ...,最も...しそうにない～
object to ~,～に反対する
close to ~,ほとんど～
regardless of ~,～にかかわらず
It is no use ~ing,～してもむだである
take ~ into consideration,～を考慮に入れる
compare A with B,AとBを比較する
provide A with B,AにBを供給する
nothing but ~,～にすぎない
in accordance with ~,～に従って
long for ~,～を切望する
carry out,実行する
do away with ~,～を廃止する
at any rate,とにかく
It is no until ~ that ...,～して初めて...する
carry on ~,～し続ける
to say nothing of ~,～は言うまでもなく
what is more,そのうえ
point out ~,～を指摘する
set up ~,～を建てる
to one's surprise,（～が）驚いたことには
have nothing to do with ~,～と無関係である
be content(ed) with ~,～に満足している
give way (to ~),（～に）屈服する
look on[upon] A as B,AをBとみなす
no sooner ~ than ...,～するやいなや...
S keep A from ~ing,SはAが～することを妨げる/防ぐ SのためにAは～できない
be responsible for ~,～に対して責任がある
take after ~,～に似ている
take place,起こる/行なわれる
call for ~,～を必要とする
feel like ~ing,～したい気がする
as it were,いわば
put up with ~,（～を）我慢する
not so much A as B,AというよりはむしろB
in itself,それ自体は
once in a while,ときどき
die of ~,～で死ぬ
speak ill of ~,～のことを悪く言う
for[with] the purpose of ~ing,～するために
in particular,特に
turn out,（～であることが）判明する
be independent of ~,～から独立している
cope with ~,～を（うまく）処理する
quite a few,かなり多くの
put off,延期する
in vain,むだに
bring about ~,～を引き起こす
call on ~,～を訪問する
make little of ~,～を軽んじる
at one's best,最高の状態で
on account of ~,～の理由で
from ~ point of view,～の観点から（みて）
now and then,ときどき
run short of ~,～が不足する
as is often the case (with~),（～には）よくあることだが
in search of ~,～を捜して
make use of ~,～を利用する
go through ~,～を経験する
lest[for fear] ~ should ...,～が...しないように
at hand,近くに
at a loss,途方に暮れて
learn ~ by heart,～を暗記する
make the best of ~,～を最大限に利用する
by nature,生まれつき
blame ~ for ...,...のことで～を非難する
without fail,必ず
stand for ~,～を表わす
in case of ~,～の場合には
keep up with ~,～に遅れずについていく
know better than to ~,～するほどばかではない
pick up,（人、荷物などを）拾う
if any,たとえあるとしても/もしあれば
if anything,どちらかといえば
in honor of ~,～に敬意を表して
in the long run,結局は
cannot afford to ~,～する余裕がない
figure out ~,～を理解する
be obliged[forced] to ~,～せざるを得ない
by way of ~,～経由で ～として
hold on ~,（電話を）切らないでおく
get along (with~),（～と）仲よくやっていく
devote oneself to ~,～に専念する
cling to ~,～に執着する
accuse A of B,BでAを非難する
never[cannot] fail to ~,必ず～する
get[keep] in touch with ~,～と接触をとる[保つ]
leave no room for ~,～の余地がない
show up,現われる 目立つ
no more than ~,わずか～だけ
not more than ~,（多くとも）せいぜい
no more ~ than ...,...でないのと同様に～でない
as such,そういうものとして
may well ~,～するのももっともだ
may as well ~(as...),（...するくらいなら）～したほうがよい
If it were not for ~,もし～がなければ
but for ~,～がなければ
wear out,（使い古して）だめになる
make sense,意味をなす
do ~ good,～に益をもたらす
set out for ~,～へ向けて出発する
in favor of ~,～に賛成して
in terms of ~,～の（観）点では
be in charge of ~,～を管理している
for the sake of ~,～のために
come true,実現する
beside oneself with ~,～にわれを忘れて
to make matters worse,さらに悪いことには
see to ~[see to it that ...],～に気をつける
make it a rule to ~,～することにしている
take over ~,～を引き継ぐ
under ~ circumstances,～の状況のもとでは
make out ~,～を理解する
be acquainted with ~,～を知っている
leave ~ alone,～をそのままにしておく
take to ~,～が好きになる
turn down,拒否する
go so far as to ~,～しさえする（～までする）
help oneself to ~,自分で（自由に）とって食べる
anything but ~,けっして～でない
count for nothing,なんにもならない
none the less,それにもかかわらず
wait on ~,～に仕える
burst into laughter,どっと（突然）笑い出す
on earth,一体全体